Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalBathrooms,HouseAge,YearsSinceRemodel,OverallScore,TotalOutdoorSF
1,60,RL,65.0,8450,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,GasA,Ex,Y,SBrkr,0,1710,3,1,Gd,8,Typ,0,,Attchd,2003.0,RFn,2,TA,TA,Y,0,0,0,0,,,,0,2,2008,WD,Normal,208500,2566,3.5,5,5,6.0,805.0
2,20,RL,80.0,9600,Pave,,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,GasA,Ex,Y,SBrkr,0,1262,3,1,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2,TA,TA,Y,0,0,0,0,,,,0,5,2007,WD,Normal,181500,2524,2.5,31,31,7.0,758.0
3,60,RL,68.0,11250,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,GasA,Ex,Y,SBrkr,0,1786,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2,TA,TA,Y,0,0,0,0,,,,0,9,2008,WD,Normal,223500,2706,3.5,7,6,6.0,812.0
4,70,RL,60.0,9550,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Shng,,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,GasA,Gd,Y,SBrkr,0,1717,3,1,Gd,7,Typ,1,Gd,Detchd,1998.0,Unf,3,TA,TA,Y,272,0,0,0,,,,0,2,2006,WD,Abnorml,140000,2473,2.0,91,36,6.0,677.0
5,60,RL,84.0,14260,Pave,,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,GasA,Ex,Y,SBrkr,0,2198,4,1,Gd,9,Typ,1,TA,Attchd,2000.0,RFn,3,TA,TA,Y,0,0,0,0,,,,0,12,2008,WD,Normal,250000,3343,3.5,8,8,6.5,1462.0
6,50,RL,85.0,14115,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,GasA,Ex,Y,SBrkr,0,1362,1,1,TA,5,Typ,0,,Attchd,1993.0,Unf,2,TA,TA,Y,0,320,0,0,,MnPrv,Shed,700,10,2009,WD,Normal,143000,2158,2.5,16,14,5.0,550.0
7,20,RL,75.0,10084,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,GasA,Ex,Y,SBrkr,0,1694,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,RFn,2,TA,TA,Y,0,0,0,0,,,,0,8,2007,WD,Normal,307000,3380,3.0,3,2,6.5,1134.0
8,60,RL,,10382,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,Stone,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,GasA,Ex,Y,SBrkr,0,2090,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2,TA,TA,Y,228,0,0,0,,,Shed,350,11,2009,WD,Normal,200000,3197,3.5,36,36,6.5,1163.0
9,50,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,BrkFace,Wd Shng,,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,GasA,Gd,Y,FuseF,0,1774,2,2,TA,8,Min1,2,TA,Detchd,1931.0,Unf,2,Fa,TA,Y,205,0,0,0,,,,0,4,2008,WD,Abnorml,129900,2726,2.0,77,58,6.0,558.0
10,190,RL,50.0,7420,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,Gable,CompShg,MetalSd,MetalSd,,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,GasA,Ex,Y,SBrkr,0,1077,2,2,TA,5,Typ,2,TA,Attchd,1939.0,RFn,1,Gd,TA,Y,0,0,0,0,,,,0,1,2008,WD,Normal,118000,2068,2.0,69,58,5.5,209.0
11,20,RL,70.0,11200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,GasA,Ex,Y,SBrkr,0,1040,3,1,TA,5,Typ,0,,Detchd,1965.0,Unf,1,TA,TA,Y,0,0,0,0,,,,0,2,2008,WD,Normal,129500,2080,2.0,43,43,5.0,384.0
12,60,RL,85.0,11924,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Hip,CompShg,WdShing,Wd Shng,Stone,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,GasA,Ex,Y,SBrkr,0,2324,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005.0,Fin,3,TA,TA,Y,0,0,0,0,,,,0,7,2006,New,Partial,345000,3499,4.0,1,0,7.0,1190.0
13,20,RL,,12968,Pave,,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,Plywood,,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,GasA,TA,Y,SBrkr,0,912,2,1,TA,4,Typ,0,,Detchd,1962.0,Unf,1,TA,TA,Y,0,0,176,0,,,,0,9,2008,WD,Normal,144000,1824,2.0,46,46,5.5,492.0
14,20,RL,91.0,10652,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,GasA,Ex,Y,SBrkr,0,1494,3,1,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3,TA,TA,Y,0,0,0,0,,,,0,8,2007,New,Partial,279500,2988,2.0,1,0,6.0,1339.0
15,20,RL,,10920,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,GasA,TA,Y,SBrkr,0,1253,2,1,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,1,TA,TA,Y,176,0,0,0,,GdWo,,0,5,2008,WD,Normal,157000,2506,2.5,48,48,5.5,777.0
16,45,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,GasA,Ex,Y,FuseA,0,854,2,1,TA,5,Typ,0,,Detchd,1991.0,Unf,2,TA,TA,Y,0,0,0,0,,GdPrv,,0,7,2007,WD,Normal,132000,1686,1.0,78,6,7.5,736.0
17,20,RL,,11241,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,GasA,Ex,Y,SBrkr,0,1004,2,1,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2,TA,TA,Y,0,0,0,0,,,Shed,700,3,2010,WD,Normal,149000,2008,2.0,40,40,6.5,660.0
18,90,RL,72.0,10791,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,Gable,CompShg,MetalSd,MetalSd,,TA,TA,Slab,,,,,0,,0,0,GasA,TA,Y,SBrkr,0,1296,2,2,TA,6,Typ,0,,CarPort,1967.0,Unf,2,TA,TA,Y,0,0,0,0,,,Shed,500,10,2006,WD,Normal,90000,1296,2.0,39,39,4.5,516.0
19,20,RL,66.0,13695,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,GasA,Ex,Y,SBrkr,0,1114,3,1,Gd,6,Typ,0,,Detchd,2004.0,Unf,2,TA,TA,Y,0,0,0,0,,,,0,6,2008,WD,Normal,159000,2228,2.5,4,4,5.0,678.0
